NAME_O,ORIGX,ORIGY,NAME_D,DSTNX,DSTNY
"93B Lakatan st., Area A, Talanay, Batasan, QC",14.67664,121.10426,"Puregold Sto. Niño st.,",14.68472,121.09774
"95 Lakatan st.,Area A, Talanay Batasan, Hills, QC",14.67657,121.10419,Brgy. Hall,14.68782,121.09241
"11D Rodman st., Talanay Area A, Batasan Hills, QC",14.68436,121.10922,Consti Palengke,14.69064,121.09661
"59 Rodman st., St Niño, Batasan Hills, QC",14.68484,121.10236,Sinioita st.,14.68057,121.09355
"33 Rodman st.,Sitio Talanay, Batasan Hills, QC",14.68769,121.09644,"Area B, Palengke",14.68472,121.09774
"80 Rodman st., Talanay A, Batasan hills, QC",14.68233,121.10793,"Area B, Palengke",14.68472,121.09774
"80 Rodman st., Talanay A, Batasan hills, QC",14.68233,121.10793,"Area B, Palengke",14.68472,121.09774
"45-c Rodman st.,Area A1 Batasan Hills, QC",14.68152,121.10938,"Area B, Palengke",14.68472,121.09774
"43B Rodman st.,Batasan Hills, QC",14.68497,121.093,Kalayaan st.,14.68472,121.09774
"37 Rodman st.,Talanay Batasan Hills, QC",14.68584,121.10883,"Area B, Palengke",14.68472,121.09774
"37 Kalayaan B Golod, Batasan hills, QC",14.69186,121.08823,Manggahan,14.682,121.08509
"108 Senatorial Road, Batasan hills, QC",14.68511,121.09773,IBP Road ( Brgy. Hall ),14.68782,121.09241
"30 Kalayaan B, Batasan Hills, QC",14.69186,121.08823,UP Technohub,14.64874,121.05615
"30 Kalayaan B st., Batasan, QC",14.69186,121.08823,Commonwealth Market,14.682,121.08509
"30 Kalayaan B st., Batasan, QC",14.69186,121.08823,Commonwealth Market,14.682,121.08509
"30 Kalayaan B st., Batasan, QC",14.69186,121.08823,"Brgy. Hall, IBP RA, QC",14.68782,121.09241
"30 Kalayaan B, Batasan, QC",14.69186,121.08823,Kalayaan B,14.68472,121.09774
"270 Kalayaan B, Batasan Hill, QC",14.69186,121.08823,Timog,14.63539,121.03293
"30 Kalayaan B, Batasan",14.69186,121.08823,Philcoa,14.68843,121.07453
"III Kasipagan st. Kalayaan B, Batasan hills, QC",14.68057,121.09355,Commonwealth Market,14.682,121.08509
"III Kasipagan st. Kalayaan B, Batasan hills, QC",14.68057,121.09355,SM North,14.657027,121.030479
"20B Kaibigan st, Kalayaan B, Batasan hills, QC",14.68812,121.10848,Palengke,14.68472,121.09774
"27 Kaibigan st. Batasan hills, QC",14.68327,121.10955,Palengke,14.68472,121.09774
"20 Kaibigan st. Batasan hills, QC",14.68812,121.10848,Palengke,14.68472,121.09774
"31 Kalayaan B, Batasan hill, QC",14.69186,121.08823,Kalayaan Palengke,14.68472,121.09774
"30 Kalayaan B st. Batasan hills, QC",14.69186,121.08823,Kalayaan B.,14.68472,121.09774
"30 Kalayaan B st. Batasan hills, QC",14.69186,121.08823,Kalayaan B.,14.68472,121.09774
"30 Kalayaan st. Batasan hills, QC",14.69186,121.08823,Freedom st.,14.68057,121.09355
30 Kalayaan B st. Brgy. Batasan QC,14.69186,121.08823,Kalayaan B,14.68472,121.09774
"16 Kaibigan st. BH, QC",14.68519,121.10728,Commonwealth Market,14.682,121.08509
"30B  Kalayaan B, Batasan Hills, QC",14.69186,121.08823,Taguig BGC,14.52941,121.07102
"30B Kalayaan, Batasan Hills, QC",14.69186,121.08823,Commonwealth Market,14.682,121.08509
"30 Kalayaan st. BH, QC",14.69186,121.08823,Talipapa,14.68057,121.09355
"20 Kaibigan st. BH, QC",14.68812,121.10848,Talipapa,14.68057,121.09355
"20 Kaibigan st. BH, QC",14.68812,121.10848,Commonwealth Market,14.682,121.08509
"31 Kaibigan st. Batasan hills, QC",14.68482,121.09326,Kalayaan B. Talipapa,14.68472,121.09774
"16 Kasipagan st. Batasan hill, QC",14.68519,121.10728,Talipapa,14.68057,121.09355
"32 Kalayaan B corner, Kasipagan st. Batasan hills, QC",14.69186,121.08823,Commonwealth Market,14.682,121.08509
"65 Gulod, Kalayaan B, Batasan Hills, QC",14.69186,121.08823,Commonwealth Market,14.682,121.08509
"59, Kasipagan Gulod, Kalayaan B st. Batasan Hills, QC",14.68472,121.09774,Commonwealth Market,14.682,121.08509
"607 Six alley kaibigan, Kalayaan B, Batasan, QC",14.68472,121.09774,Commonwealth Market,14.682,121.08509
"12B Kalinisan, Batasan hills, QC",14.68646,121.09209,Talipapa Kasiyahan st.,14.68748,121.09312
"30-D Pangasinan st. Luzviminda, Batasan hills, QC",14.68615,121.09186,Talipapa Kasayahan,14.68748,121.09312
"300 Pangasinsa st. Batasan hills, QC",14.68647,121.0929,"San Mateo, Rizal",14.69872,121.12606
14 Pangasinan st,14.68647,121.0929,Kasayahan Market,14.68748,121.09312
"B-2 L-2 Kasayahan, Batasan, QC",14.68748,121.09312,Kasayahan Market,14.68748,121.09312
"17 Kasayahan, Batasan hills, QC",14.68748,121.09312,"Talipapa, Kasayahan",14.68748,121.09312
"Blk 1 lot 1 Kasayahan st. Batasan hills, QC",14.68748,121.09312,Kasayahan,14.68748,121.09312
"54 Kasayahan, Batasan, QC",14.68748,121.09312,"Kasayahan, Talipapa",14.68748,121.09312
"56 Kasayahan st. Batasan hills, QC",14.68748,121.09312,Balintawak,14.657027,121.030479
"Block 1 Kasayahan st. Batasan hills, QC",14.68748,121.09312,"Kasayahan, Talipapa",14.68748,121.09312
"54 Kasayahan, Batasan, QC",14.68748,121.09312,Kasayahan Talipapa,14.68748,121.09312
"54 Kasayahan st. Barangay Batasan, QC",14.68748,121.09312,"Kasayahan, Talipapa",14.68748,121.09312
"14 Pangasinan st Batasan, QC",14.68647,121.0929,Kasayahan Talipapa,14.68748,121.09312
"36B Pangasinan st. Batasan hills, QC",14.68672,121.09444,"Kasiyahan, Talipapa",14.68748,121.09312
"85 IBP Road, Batasan Hills, QC",14.68782,121.09241,Brgy. Pinyahan,14.63686,121.04331
"206 Damayan st. Batasan hills, QC",14.68743,121.09588,Manggahan Market,14.682,121.08509
"54 Kasayahan, St. Batasan hills, QC",14.68748,121.09312,Kasayahan Talipapa,14.68748,121.09312
"54 Kasayahan st. Batasan hills, QC",14.68748,121.09312,"Kasayahan, Talipapa",14.68748,121.09312
"48 Kasayahan st. Batasan hills, QC",14.68748,121.09312,Kasayahan Talipapa,14.68748,121.09312
"49 Kasayahan st. Batasan hills, QC",14.68748,121.09312,"Kasayahan, Talipapa",14.68748,121.09312
"18 Kasayahan st. Batasan, QC",14.68748,121.09312,Kasayahan Talipapa,14.68748,121.09312
"18 Kasayahan, st. Batasan hills, QC",14.68748,121.09312,"Kasayahan, Talipapa",14.68748,121.09312
"12 Pangasinan st. Batasan, QC",14.68647,121.0929,"Kasayahan, Talipapa",14.68748,121.09312
"54 Kasayahan st. Batasan hills, QC",14.68748,121.09312,Kasayahan Talipapa,14.68748,121.09312
"18-B Kasayahan st. Batasan hills, QC",14.68748,121.09312,Kasayahan Talipapa,14.68748,121.09312
"53 Sinagatala st. Batasan hills, QC",14.68659,121.09552,Presentation of our Lord Parish Filinvest 1 Subd.,14.68435,121.09098
"Blk 6, Lot 15 Kasayahan st. Batasan hills, QC",14.68748,121.09312,Commonwealth Market,14.682,121.08509
"54 Kasayahan st. Batasan hills, QC",14.68748,121.09312,Kasayahan Talipapa,14.68748,121.09312
"49 Kasayahan st. Batasan hills, QC",14.68748,121.09312,Kasayahan Talipapa,14.68748,121.09312
"54 Kasayahan st. Batasan hills, QC",14.68748,121.09312,Consti Talipapa,14.69064,121.09661
"19 Kasayahan st. Batasan hills, QC",14.68748,121.09312,"Cabanatuan, San Isidro",15.49142,120.99334
"121 Pangasinan st. Batasan hills, QC",14.68647,121.0929,St. Peter Church,14.68057,121.09355
"14 Pangasinan, Batasan hills, QC",14.68647,121.0929,Sinagatala Talipapa,14.68659,121.09552
