NAME_O,ORIGX,ORIGY,NAME_D,DSTNX,DSTNY
"1035 Jasmin St. BH, QC",14.68057,121.09355,"Talipapa, Ilang Ilang St.",14.68479,121.08861
"1040 Jasmin St. BH, QC",14.68057,121.09355,"Talipapa, Ilang Ilang St.",14.68479,121.08861
"49 Jasmin St., BH, QC",14.62828,121.02196,"E. Rodriguez, QC",14.62623,121.05208
45 Jasmin St. Batasan QC,14.71645,121.02699,"Talipapa, Ilang Ilang St.",14.68479,121.08861
"29 Jasmin St., BH, QC",14.71634,121.02751,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"29 Jasmin St., BH, QC",14.71634,121.02751,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"78 Santan St. BH, QC",14.68611,121.09232,"Talipapa, Ilang Ilang",14.68479,121.08861
"48 Santan St. BH, QC",14.68993,121.05726,"Batasan, Batoda",14.68472,121.09774
"34 Ilang-ilang St., BH, QC",14.68472,121.10659,"La Mesa Dam, QC",14.72406,121.07041
"34 Ilang-ilang St., BH, QC",14.68472,121.10659,Filinvest 2,14.68464,121.10523
"24 Rosal St. BH, QC",14.70133,121.04247,"Talipapa, Ilang Ilang",14.68479,121.08861
"08 Ilang-ilang St., BH, QC",14.68479,121.08861,Sandigan,14.68472,121.09774
"25 Jasmin St., BH, QC",14.71634,121.02751,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"515 Rosal St. BH, QC",14.68057,121.09355,Commonwealth Market,14.682,121.08509
"2222 Kadena de Amor, BH, QC",14.62899,121.01881,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"119 Jasmin St., BH, QC",14.68057,121.09355,"DPWH, QC",14.68472,121.09774
"2096 Rosal St. BH, QC",14.68057,121.09355,"Talipapa, Ilang Ilang",14.68479,121.08861
"B94 L2 Everlasting St., BH, QC",14.68758,121.05924,"Roosevelt Presko, QC (Near Fishermall)",14.64508,121.01717
"82 Santan St. BH, QC",14.68223,121.10802,"Ilang Ilang, Market",14.68479,121.08861
"45 Everlasting St., BH, QC",14.70074,121.09314,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"65 Ilang-ilang St., BH, QC",14.68479,121.08861,Commonwealth Market,14.682,121.08509
"103 Ilang-ilang St., BH, QC",14.68479,121.08861,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"91 Cadena de amor St. BH, QC",14.62899,121.01881,Commonwealth Market,14.682,121.08509
"95 Ilang-ilang St., BH, QC",14.68479,121.08861,Ever Gotesco Mall,14.68472,121.09774
"2020 Ilang Ilang St. BH, QC",14.68479,121.08861,"Talipapa, Ilang Ilang",14.68479,121.08861
"15 Jasmin St., BH, QC",14.70069,121.09505,Commonwealth,14.682,121.08509
"108 Senatorial Rd., BH, QC",14.68511,121.09773,SM Cubao,14.62007,121.05947
"46 Santan St. BH, QC",14.69031,121.05721,FIlinvest,14.68435,121.09098
"091 Cadena de Amor, BH, QC",14.62899,121.01881,Commonwealth Market,14.682,121.08509
"40 Santan St. BH, QC",14.69841,121.09685,Mandaluyong,14.5809,121.04687
"07 Cadena de Amor, BH, QC",14.62899,121.01881,Commonwealth Market,14.682,121.08509
"10 Cadena de Amor, BH, QC",14.6287,121.01781,Commonwealth Market,14.682,121.08509
"13 Jasmin St., BH, QC",14.71623,121.02796,Commonwealth Market,14.682,121.08509
"1466 Santan St., BH, QC",14.68057,121.09355,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"Blk. 91 Lot 27 Santan St. BH, QC",14.69138,121.05721,PCCAES,14.68472,121.09774
"1466 Santan St. BH, QC",14.68057,121.09355,"Talipapa, Ilang Ilang",14.68479,121.08861
"253 Rosas St. BH, QC",14.68057,121.09355,San Mateo Banaba,14.69069,121.09667
"136 Jasmin St. BH, QC",14.68673,121.10874,"Talipapa, Ilang Ilang",14.68479,121.08861
"45 Jasmin St. BH, QC",14.71645,121.02699,Ilang Ilang Market,14.68479,121.08861
"6 Kadena De Amor Jasmine, BH,QC",14.70149,121.01918,North Fairview Subd.,14.68422,121.1049
"25 Santan St. BH, QC",14.69855,121.09612,Manggahan,14.682,121.08509
"44 Jasmin St. BH, QC",14.70204,121.01829,Ilang Ilang Market,14.68479,121.08861
"6 Gadena De Amor Jasmin, BH, QC",14.70149,121.01918,"Ilang Ilang, Market",14.68479,121.08861
"29 Jasmin St. BH, QC",14.71634,121.02751,"Makati, Rufino, Ayala Ave.",14.56912,121.026154
"29 Jasmin St. BH, QC",14.71634,121.02751,"Subway, Mindanao Ave.",14.72639,121.05755
"113 Ilang Ilang St. BH, QC",14.68479,121.08861,"Cubao, Edsa",14.62007,121.05947
"11 Sampaguita St. BH, QC",14.72433,121.03308,"Talipapa, Ilang Ilang",14.68479,121.08861
"Ilang Ilang St. BH, QC",14.68479,121.08861,"Commonwealth, Puregold",14.69069,121.09667
"Ilang Ilang St. BH, QC",14.68479,121.08861,Commonwealth Market,14.682,121.08509
"10 Ilang Ilang St. BH, QC",14.68524,121.10643,"Talipapa, Ilang Ilang",14.68479,121.08861
"53 Ilang Ilang St. BH, QC",14.68479,121.08861,Commonwealth Market,14.682,121.08509
"40 Ilang Ilang St. BH, QC",14.68491,121.10638,"Warehouse, Cubao",14.62007,121.05947
"Sampaguita St. BH, QC",14.68057,121.09355,"SM, Cubao",14.62007,121.05947
"Sampaguita St, BH, QC",14.68057,121.09355,"Talipapa, Ilang Ilang",14.68479,121.08861
"Sampaguita St. BH, QC",14.68057,121.09355,Ever Gotesco,14.68472,121.09774
"14 Sampaguita St. BH, QC",14.66632,121.03337,Ever Gotesco,14.68472,121.09774
"Sampaguita St. BH, QC",14.68057,121.09355,Commonwealth Market,14.682,121.08509
"11 Sampaguita St. BH, QC",14.72433,121.03308,SM Cubaoi,14.62007,121.05947
"83 Lot V Jasmin St. BH, QC",14.67695,121.10463,Commonwealth Market,14.682,121.08509
"Sampaguita St. BH, QC",14.68057,121.09355,Commonwealth Market,14.682,121.08509
"81 Ilang Ilang St. BH, QC",14.68479,121.08861,Ilang Ilang St.,14.68479,121.08861
"88 Ilang Ilang St. BH, QC",14.68479,121.08861,Batasan Rd.,14.68472,121.09774
"2068 Ilang Ilang St. BH, QC",14.68479,121.08861,"Naguilian, La Union",16.53235,120.39363
"088 Ilang Ilang St. BH, QC",14.68479,121.08861,"RAD Medical, Litex Batasan / Filinvest Rd. Batasan",14.68472,121.09774
"088 Ilang Ilang St. BH, QC",14.68479,121.08861,"Faith Store, Santan St. Batasan",14.68254,121.08754
"1465 Santan St., BH, QC",14.68057,121.09355,Commonwealth Market,14.682,121.08509
"1466 Santan St., BH, QC",14.68057,121.09355,Araneta Skyway,14.64515,120.9942
"34 Ilang-ilang St., BH, QC",14.68472,121.10659,"Del Monte, QC",14.64332,121.01508
"1 Rolling Lane St., Filinvest 1 Rd., BH, QC",14.68411,121.09114,"Trans-World International Logistics Corporation, Rolling Lane St., BH, QC",14.6836,121.0903
"13 Filinvest 1 Rd., BH, QC",14.69017,121.09919,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"105 Ilang-ilang St., BH, QC",14.68479,121.08861,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"94 Ilang-ilang St., BH, QC",14.68479,121.08861,Commonwealth Market,14.682,121.08509
"79 Santan St., BH, QC",14.67716,121.10479,"Visayas Ave, Diliman, QC",14.682,121.08509
"88 Ilang-ilang St., BH, QC",14.68479,121.08861,Commonwealth Market,14.682,121.08509
"12 Jasmin St., BH, QC",14.68703,121.0731,Baclaran,14.53143,120.99513
"088D Ilang Ilang St. BH, QC",14.68479,121.08861,Greenfield Addition Hills Mandaluyong,14.5809,121.04687
"76 Jasmin St. BH, QC",14.62781,121.02339,Ilang Ilang St.,14.68479,121.08861
"96 Jasmin St. BH, QC",14.62759,121.02437,Commonwealth Market,14.682,121.08509
"96 Jasmin St. BH, QC",14.62759,121.02437,"Talipapa, Ilang Ilang",14.68479,121.08861
"45 Jasmin St. BH, QC",14.71645,121.02699,"Balara MMPA, QC",14.66398,121.08371
"95 Cadena De Amor, BH, QC",14.62899,121.01881,Ever Gotesco,14.68472,121.09774
"1040 Jasmin St. BH, QC",14.68057,121.09355,Commonwealth Market,14.682,121.08509
"113 Ilang Ilang St. BH, QC",14.68479,121.08861,Ilang Ilang Market,14.68479,121.08861
"2021 Everlasting Street BH, QC",14.68057,121.09355,"Talipapa, Ilang Ilang",14.68479,121.08861
"44 Jasmin St. BH, QC",14.70204,121.01829,Ilang Ilang Market,14.68479,121.08861
"74 Ilang IIang St. BH, QC",14.68479,121.08861,Ortigas,14.58924,121.07101
"088 Ilang Ilang St. BH, QC",14.68479,121.08861,"Bagumbayan, Taguig",14.47542,121.05652
"5 Accibal Compd. BH, QC",14.68472,121.09774,"Necaria, Payatas",14.71864,121.1076
"40 Lunduyan St. BH, QC",14.67819,121.10405,Luzon Ave. (Garra),14.72639,121.05755
"66 Accibal Compound, BH, QC",14.68472,121.09774,"Payatas, QC",14.71864,121.1076
"95 Accibal 2, BH, QC",14.68472,121.09774,Litex Market,14.68472,121.09774
"58B Accibal 2, BH, QC",14.68472,121.09774,Litex Market,14.68472,121.09774
"285 Accibal Compd. Pagasa, BH, QC",14.68472,121.09774,Commonwealth Market,14.682,121.08509
"Accibal Compound, Pag asa, BH, QC",14.68472,121.09774,"Litex, Palengke",14.68472,121.09774
"59 Accibal Compound 2, BH, QC",14.68472,121.09774,Puregold,14.69069,121.09667
"141 Accibal Compound 2 BH, QC",14.68472,121.09774,Within Batasan / Batoda,14.68472,121.09774
"Accibal 2 Compound, BH, QC",14.68472,121.09774,Shangri-la Mandaluyong,14.5809,121.04687
"319 Accival 2 Compound BH, QC",14.68472,121.09774,Commonwealth Litex,14.68472,121.09774
"69 Accival Compound, BH, QC",14.68472,121.09774,Commonwealth Market,14.682,121.08509
"68 Accibal St. BH, QC",14.68472,121.09774,"San Juan, Pinaglabanan",14.70353,121.09711
"64 Accibal Compound, BH, QC",14.68472,121.09774,"District 6, Batasa",14.68717,121.09856
"56 Santan St., BH, QC",14.6896,121.05728,1st Regular BATODA Terminal,14.68472,121.09774
"98 Cadena de Amor, BH, QC",14.62899,121.01881,Commonwealth Market,14.682,121.08509
"76 Jasmin St., BH, QC",14.62781,121.02339,"Talipapa, Jasmin St.",14.68472,121.09774
"2222 Cadena de Amor, BH, QC",14.62899,121.01881,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"4 Cadena de Amor, BH, QC",14.62899,121.01881,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"1465 Santan St., BH, QC",14.68057,121.09355,"Visayas Ave., QC",14.682,121.08509
"12 B2 Jasmin St., BH, QC",14.68324,121.10074,St. Peter Parish,14.68057,121.09355
"2062 Ilang-ilang St., BH, QC",14.68479,121.08861,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"Blk 95 Lot 14 Jasmin St., BH, QC",14.70192,121.01919,Commonwealth Market,14.682,121.08509
"106 Ilang-ilang St., BH, QC",14.68479,121.08861,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"1046 Jasmin St., BH, QC",14.68057,121.09355,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"34 Ilang-ilang St., BH, QC",14.68472,121.10659,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"34 Ilang-ilang St., BH, QC",14.68472,121.10659,Sandigan Market,14.68472,121.09774
"2096 Rosal St., BH, QC",14.68057,121.09355,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"521 Santan St., BH, QC",14.68057,121.09355,Commonwealth Market,14.682,121.08509
"Lunduyan St. BH, QC",14.68057,121.093552,Commonwealth Market,14.682,121.08509
"36 Jasmin St., BH, QC",14.70201,121.01852,Cubao,14.62007,121.05947
"43 Lunduyan ext. BH, QC",14.68497,121.093,SM Fairview,14.70326,121.07073
"Blk 88 Lot 14 Santan St., BH, QC",14.69879,121.09595,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"2022 Santan St., BH, QC",14.68057,121.09355,"Benitez, Cubao, QC",14.62007,121.05947
"45 Lunduyan St. BH, QC",14.68152,121.10938,Techno Hub ( Philcoa),14.682,121.08509
"46 Lunduyan, BH, QC",14.68364,121.11047,Commonwealth Market,14.682,121.08509
"2050 Ilang-ilang St., BH, QC",14.68479,121.08861,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"76 Lunduyan St. BH, QC",14.68673,121.09366,Puregold Banaba,14.69069,121.09667
"2070 Ilang-ilang St., BH, QC",14.68479,121.08861,Quiapo Church,14.5983,120.98808
"Lunduyan ext. BH, QC",14.68057,121.09355,"Cubao, Edsa",14.62007,121.05947
"Lunduyan St. BH, QC",14.68057,121.093552,Commonwealth Market,14.682,121.08509
"Lunduyan, BH, QC",14.68057,121.093552,"Talipapa, Consti",14.69064,121.09661
"2062 Ilang-ilang St., BH, QC",14.68479,121.08861,"PVAO Compound, Camp Emilio Aguinaldo",14.60658,121.06298
"Lunduyan ext. BH, QC",14.68057,121.09355,Don Antonio,14.67657,121.08694
"2068 Ilang-ilang St., BH, QC",14.68479,121.08861,"Baysa, Balintawak",14.657027,121.030479
"77 Lunduyan St. BH, QC",14.67722,121.10486,Commonwealth Market,14.682,121.08509
"81 Lunduyan St. BH, QC",14.68189,121.10866,"Talipapa, Consti",14.69064,121.09661
"Lundayan, BH, QC",14.68057,121.093552,"Talipapa, Consti",14.69064,121.09661
"Lunduyan St. BH, QC",14.68057,121.093552,SM San Mateo,14.69069,121.09667
"93 Cadena de Amor, BH, QC",14.62899,121.01881,Divisoria,14.58226,120.9748
"52 Lunduyan Talanay St. BH, QC",14.68885,121.10784,SM San Mateo,14.69069,121.09667
"2070 Ilang-ilang St., BH, QC",14.68479,121.08861,Best Link University,14.67892,121.08467
"57 Lunduyan Talanay BH, QC",14.68487,121.09162,Techno hub,14.682,121.08509
"27 Lunduyan St. BH, QC",14.68327,121.10955,Puregold Banaba,14.69069,121.09667
"Lunduyan Talanay, BH, QC",14.68057,121.093552,"Talipapa, Saret St.",14.68682,121.09922
"Lunduyan St., BH, QC",14.68057,121.093552,St. Peter Parish,14.68057,121.09355
"60 Lunduyan Ext. BH, QC",14.67965,121.10619,Batasan National High School,14.68472,121.09774
"129 Lunduyan Ext. BH, QC",14.68057,121.09355,Crossing Mandaluyong,14.5809,121.04687
"Lunduyan St. , BH, QC",14.68057,121.093552,"Technohub, Commonwealth Ave",14.682,121.08509
"89 Lunduyan Ext. BH, QC",14.68613,121.09484,Cubao,14.62007,121.05947
"01 Sitio Kaliwa BH, QC",14.68769,121.09644,Consti Palengke,14.69064,121.09661
"03A Latundan St., Talanay Area B, BH, QC",14.68269,121.1005,TechnoHub,14.68843,121.07453
"06 Freedom Park 5, BH, QC",14.69342,121.09056,Litex Market,14.68472,121.09774
"06 Latundan St. Talanay Area B, BH, QC",14.68269,121.1005,Techno hub (Philcoa),14.68843,121.07453
"09 Soldiers home, BH, QC",14.68435,121.09098,SM San Matep,14.69872,121.12606
"092 Kalinisan St. BH, QC",14.68646,121.09209,Cubao,14.62007,121.05947
"092 Kalinisan St. BH, QC",14.68646,121.09209,Techno hub,14.682,121.08509
"1 Sitio 3, Legislative St., BH, QC",14.6876,121.09696,Commonwealth Market,14.682,121.08509
"10 Constitution Hills, BH, QC",14.6956,121.09509,Litex Market,14.68472,121.09774
"10 Eagle St., BH, QC",14.67959,121.10458,Constitution Market,14.69064,121.09661
"10 Kalusugan St. BH, QC",14.68646,121.08948,Techono hub (Philcoa),14.68843,121.07453
"103 De Gloria Ext. Talanay Area B-2 BH, QC",14.68094,121.10044,Area B Market,14.68472,121.09774
"108 Senatorial Rd., BH, QC",14.68511,121.09773,Commonwealth Market,14.682,121.08509
"11 Kalusugan St. BH, QC",14.68646,121.08948,Don Antonio (Shopwise),14.67714278,121.0816844
"11 Katuparan St., BH,QC",14.6968,121.09092,"Santol St., Project 4, QC",14.6021,121.0119
"11 Sampaloc St. BH, QC",14.68436,121.10922,"Loyola, Quezon City",14.64111,121.0744
"11 Sampaloc St. BH, QC",14.68436,121.10922,"Market, Latundan St. Kagawad Road, QC",14.68311,121.09991
"113 Congressional Rd., BH, QC",14.68776,121.09701,Commonwealth Market,14.682,121.08509
"113 Senatorial Rd., BH, QC",14.68511,121.09773,Constitution Market,14.69064,121.09661
"115 Senatorial Rd., BH, QC",14.68554,121.09794,Consti Market,14.69064,121.09661
"115 Senatorial Rd., BH, QC",14.68554,121.09794,Constitution Market,14.69064,121.09661
"119 De Gloria St. Taniman, BH, QC",14.68094,121.10044,St. Peter,14.63805,120.99868
"12 Kalusugan St. BH, QC",14.68646,121.08948,"Talipapa, Kalusugan",14.68964,121.02275
"12 Katangian St. Kalayaan B, BH, QC",14.68324,121.10074,East Avenue Medical Center,14.64078,121.0468
"12 Latundan St., Talanay Area B, BH, QC",14.68269,121.1005,"Talipapa, Kagawad Rd.",14.68412,121.09926
"12 Sitio Kaliwa BH, QC",14.68769,121.09644,SM San Mateo,14.69069,121.09667
"120 Lunduyan Ext. BH, QC",14.68769,121.09644,St. Peter Church,14.68057,121.09355
"121 Dama de Noche St., Freedom Park 3, BH, QC",14.61841,121.03929,Ever Gotesco,14.68472,121.09774
"121 Rose St. FP3 BH, QC",14.69342,121.09056,Commonwealth Market,14.682,121.08509
"122 Lunduyan Extension BH, QC",14.68769,121.09644,Quezon City hall,14.68843,121.07453
"125 Fortune St. Fp2 BH, QC",14.69342,121.09056,Litex Market,14.68472,121.09774
"127 Fortune St., Freeom Park 3, BH, QC",14.69342,121.09056,Constitution Market,14.69064,121.09661
"127-B Jordan St., Freedom Park 4, BH, QC",14.69342,121.09056,Commonwealth Market,14.682,121.08509
"129 Carter St. FP4 BH, QC",14.69342,121.09056,Rose St. FP 2,14.6754,121.10209
"129 Jordan St., Freedom Park 4, BH, QC",14.69342,121.09056,Constitution Market,14.69064,121.09661
"129C Fortune St. FP4 BH, QC",14.69342,121.09056,Consti Market,14.69064,121.09661
"12-D Marcelino St. BH, QC",14.68324,121.10074,Techno hub,14.682,121.08509
13 Kalusugan St. BH QC,14.68646,121.08948,SM Fairview,14.70326,121.07073
"13 Kalusugan St. BH, QC",14.68646,121.08948,Jollibee Filinvest,14.68464,121.10523
"13 Katangian St. BH , QC",14.68337,121.10077,"Buendia Building, Bundia Santol St.",14.84154,120.81398
"130 Jordan St. FP4 BH, QC",14.69342,121.09056,Ever,14.70601,121.08698
"131 Jordan St., Freedom Park, BH, QC",14.69342,121.09056,"INC, Central Ave",14.66203,121.05487
"133 Senatorial Rd., BH, QC",14.68419,121.09742,Ever Gotesco,14.68472,121.09774
"14 Kalusugan St. BH, QC",14.68646,121.08948,Tandang Sora Ave.,14.68025,121.04065
"14 Legislative St., BH, QC",14.6876,121.09696,Constitution Market,14.69064,121.09661
"14 Sitio Kaliwa St. Patibay BH, QC",14.68769,121.09644,Consti Market,14.69064,121.09661
"14 Sitio Kaliwa Uno BH, QC",14.68769,121.09644,Techno hub,14.682,121.08509
"141 De Gloria Ext. Taniman BH,QC",14.68094,121.10044,"Batasan Hills, QC",14.68472,121.09774
"143 Rojel St. Freedom Park 4 BH, QC",14.69342,121.09056,Consti Market,14.69064,121.09661
"15 Katangian, BH, QC",14.68161,121.10447,AFNI Commonwealth Ave.,14.70642,121.06739
"15 Latundan St., Talanay Area B, BH, QC",14.68269,121.1005,"Talipapa, Kagawad Rd.",14.68412,121.09926
"15 Soldiers home, BH, QC",14.68435,121.09098,Consti Market,14.69064,121.09661
"153 Masaya St. Freedom Park 2 BH, QC",14.69342,121.09056,Sandigan,14.68472,121.09774
"16 Kalusugan St. BH, QC",14.68646,121.08948,"Talipapa, Kalusugan",14.68964,121.02275
"16 Katangian St., BH, QC",14.68519,121.10728,"Roces St., Sto Domingo",14.65419,121.01582
"16 Katuparan St., BH, QC",14.6968,121.09092,"AFNI Bldg., Commonwealth Ave",14.70642,121.06739
"16 Kaunlaran St., BH, QC",14.68856,121.09167,"Jasmin St., San Juan City",14.56399,121.14728
"16 Orchids St., Freedom Park 4, BH, QC",14.69342,121.09056,Grocery Store @ Freedom Park 5,14.69342,121.09056
"16 Sitio Kaliwa BH, QC",14.68769,121.09644,Ever Commonwealth,14.68472,121.09774
"166 Orchids St. BH, QC",14.68917,121.09952,Commonwealth Market,14.682,121.08509
"166 Orchids St., Freedom Park 3, BH, QC",14.69342,121.09056,Commonwealth Market,14.682,121.08509
"167 Orchids St. FP4 BH, QC",14.69342,121.09056,Don Antonio Subd.,14.67164611,121.0755267
"168 Orchids St., Freedom Park 3, BH, QC",14.69342,121.09056,Katipunan Ave,14.61662,121.07091
"169 Fortune St. FP4 BH, QC",14.69342,121.09056,Gitnang Bayan,14.69558889,121.0438611
"169 Fortune St., BH, WC",14.69342,121.09056,St. Peter Parish,14.68057,121.09355
"169 Jordan St., Freedom Park 4, BH, QC",14.69342,121.09056,Constitution Market,14.69064,121.09661
"169 Orchids St. FP4, BH, QC",14.69342,121.09056,St. Peter Church,14.68057,121.09355
"169B Fortune St., Freedom Park 4, BH, QC",14.69342,121.09056,Ever Gotesco,14.68472,121.09774
"169B Fortune St., Freedom Park 4, BH, QC",14.69342,121.09056,Shangri-La Plaza,14.58111111,121.0544444
"16A Lakatan St. BH, QC",14.68519,121.10728,Batasan hills Brgy. Hall,14.68472,121.09774
"16-B Soldiers Home BH, QC",14.68435,121.09098,Consti Market,14.69064,121.09661
"16C Soldiers Home, BH, QC",14.68435,121.09098,"Sto. Domingo, QC",14.68648,121.08523
"17 Kaunlaran St., BH, QC",14.68856,121.09167,"Roces St., Tomas Morato",14.65419,121.01582
"17 Señorita St. BH, QC",14.68269,121.1005,Taguig Pateros,14.63755,121.00563
"17 Soldiers home, BH, QC",14.68435,121.09098,SM Fairview,14.70326,121.07073
"170 Fortune St. FP3 BH, QC",14.69342,121.09056,Litex Market,14.68472,121.09774
"170 Fortune St. FP4 BH, QC",14.69342,121.09056,Litex Market,14.68472,121.09774
"170 Fortune St., Freedom Park 4, BH, QC",14.69342,121.09056,Commonwealth Market,14.682,121.08509
"170 Fortune St., Freedom Park 4, BH, QC",14.69342,121.09056,Congressional Ave,14.66824917,121.0341833
"170 Fortune St., Freedom Park 4, BH, QC",14.69342,121.09056,Ortigas Ave,14.59448,121.05679
"170 Fortune St., Freedom Park 4, BH, QC",14.69342,121.09056,Sto. Domingo,14.68648,121.08523
"171 Guyabano St., Taniman, BH, QC",14.68057,121.09355,"Puregold, Don Antonio branch",14.67657,121.08694
"172 Fortune St., Freedom Park 3",14.69342,121.09056,Binangonan Rizal,14.46523889,121.1921
"172 Orchids St. FP3 BH, QC",14.69342,121.09056,SM North,14.657027,121.030479
"173 Fortune St. FP4 BH, QC",14.69342,121.09056,Ever Pork Barrel,14.70601,121.08698
"173-A Fortune St., Freedom Park 4, BH, QC",14.69342,121.09056,"Pork Barrel, Ever Gotesco",14.70601,121.08698
"173-B Fortune St. FP4 BH, QC",14.69342,121.09056,Commonwealth Ave,14.682,121.08509
"18 Eagle St., BH, QC",14.73832,121.05199,"Puregold Jr., San Mateo Rd.",14.69069,121.09667
"18 Katuparan St., BH, QC",14.6968,121.09092,"Santol St., Sta Mesa",14.6021,121.0119
"18 Orchids St. FP3 BH, QC",14.69342,121.09056,Commonwealth Market,14.682,121.08509
"18 Sitio 3, Legislative St., BH, QC",14.6876,121.09696,Constitution Market,14.69064,121.09661
"188 Dama De Noche St. FP3 BH, QC",14.61841,121.03929,Sandigan,14.68472,121.09774
"19 Kasayahan St., BH, QC",14.68748,121.09312,"EDSA, Cubao",14.62007,121.05947
"19 Kasayahan St., BH, QC",14.68748,121.09312,"EDSA, Cubao",14.62007,121.05947
"19 Señorita St., Talanay Area B, BH, QC",14.68269,121.1005,Commonwealth Market,14.682,121.08509
"191 Jordan St., Freedom Park 4, BH, QC",14.69342,121.09056,Litex Market,14.68472,121.09774
"20 Kasayahan St., BH, QC",14.68748,121.09312,Sandigan,14.68472,121.09774
"20 Kasayahan St., BH, QC",14.68748,121.09312,SM Fairview,14.70326,121.07073
"20 Kasayahan St., BH, QC",14.68748,121.09312,"Talipapa, Kasayahan St.",14.68748,121.09312
"2037 Ilang-ilang St., BH, QC",14.68479,121.08861,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"2037 Ilang-ilang St., BH, QC",14.68479,121.08861,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"2038 Ilang-ilang St., BH, QC",14.68479,121.08861,Quezon Ave,14.63541,121.02356
"20B Kasayahan St., BH, QC",14.68748,121.09312,"Puregold, Banaba",14.27842,120.99526
"20B Kasayahan St., BH, QC",14.68748,121.09312,"Talipapa, Kasayahan St.",14.68748,121.09312
"20B Kasayahan St., BH, QC",14.68748,121.09312,"Talipapa, Kasayahan St.",14.68748,121.09312
"21 Carter St. FP4 BH, QC",14.69342,121.09056,Kristong Hari Church,14.6251,121.03335
"21 Katuparan St. BH, QC",14.6968,121.09092,"Maria Clara, Caloocan City",14.64731,120.98516
"21 Katuparan St., BH, QC",14.6968,121.09092,"Emerald St., Boni Ave",14.32615,121.01944
"21 Katuparan St., BH, QC",14.6968,121.09092,"Talipapa, Kalusugan St.",14.68964,121.02275
"21 Langka St. Taniman BH, QC",14.68232,121.10949,Don Antonio Puregold,14.67657,121.08694
"21 Latundan Area B, BH, QC",14.68269,121.1005,Commonwealth Market,14.682,121.08509
"21 Latundan St., Talanay Area B, BH, QC",14.68269,121.1005,"Talipapa, Kagawad Rd.",14.68412,121.09926
"21 Señorita St. BH, QC",14.68269,121.1005,"Arlo Company, Makati",14.56912,121.02615
"21A Ilang-ilang St., BH, QC",14.68462,121.10713,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"22 Kalinisan St., BH, QC",14.68646,121.09209,"Parang St., Marikina City",14.66437,121.11988
"22 Latundan St., Talanay Area B, BH, QC",14.68269,121.1005,Tandang Sora Ave,14.68025,121.04065
"22C, Kalinisan St., BH, QC",14.68646,121.09209,"Talipapa, Kalusugan St.",14.68964,121.02275
"23 Bucal St. Talanay A, BH, QC",14.68545,121.11003,Olongapo City,14.8418,120.29016
"23 Latundan St., Talanay B, BH, QC",14.68269,121.1005,"EDSA, Cubao",14.62007,121.05947
"23 Rosal St., BH, QC",14.68789,121.05878,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"230 De Gloria Ext., BH, QC",14.68094,121.10044,"Pork Barrel, Ever Gotesco",14.70601,121.08698
"24 Carter St. FP4 BH, QC",14.69342,121.09056,Jona St. INC,14.68794,121.10526
"24 Kasayahan St., BH, QC",14.68748,121.09312,"EDSA, Cubao",14.62007,121.05947
"24 Kasayahan St., BH, QC",14.68748,121.09312,Ever Gotesco,14.68472,121.09774
"24 Kasayahan St., BH, QC",14.68748,121.09312,Sandigan,14.68472,121.09774
"24 Kasayahan St., BH, QC",14.68748,121.09312,"Talipapa, Kasayahan St.",14.68748,121.09312
"240 De Gloria Ext., BH, QC",14.68094,121.10044,Ever Gotesco,14.68472,121.09774
"242 Mapayapa St. FP2 BH, QC",14.69342,121.09056,Litex Market,14.68472,121.09774
"243 Mapayapa St., Freedom Park 2, BH, QC",14.69342,121.09056,Commonwealth Market,14.682,121.08509
"24B Legislative St., BH, QC",14.6876,121.09696,East Ave,14.64078,121.0468
"25 Latundan St., Talanay B, BH, QC",14.68269,121.1005,"Talipapa, Kagawad Rd.",14.68412,121.09926
"255 De Gloria Ext., Taniman, BH, QC",14.68094,121.10044,"Talipapa, Taniman",14.68474,121.02354
"26 Kennedy St. FP4 BH, QC",14.69342,121.09056,Commonwealth Market,14.682,121.08509
"265 Dakila St., BH, QC",14.68859,121.09622,"Talipapa, Kagawad Rd.",14.68412,121.09926
"27 Ilang-ilang St., BH, QC",14.68441,121.10691,"Talipapa, Kasayahan St.",14.68748,121.09312
